sample,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
1,0.25187,3669.1,4544.3,9.2791,26.962,42.379,2705.3,75.347,120.41,0.33528,80.103,49.529,2634.1,25.132,50.241,3102.7,23.026,65.704,229.74,341.3,94.634,77.395,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,62.966,53.561,24.511,59.274,22.04,40.288,36.715,47.092,47.499,40.89,17.925
2,0.25099,3666.6,4482.3,9.2423,26.979,42.427,2705.9,75.053,120.4,0.33461,80.169,50.131,2634.9,26.582,50.808,3102.3,22.473,65.733,231.63,341.56,94.495,77.267,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,63.008,54.303,24.598,63.023,22.26,40.37,38.485,48.404,47.33,41.553,19.245
3,0.25139,3643.3,4544.6,9.3452,26.86,42.133,2705.2,75.888,120.41,0.33869,80.113,50.902,2634.0,26.193,49.806,3102.3,22.161,65.736,231.26,341.47,94.688,77.293,32.11,8.8721,26.695,6.846,19.042,1.6644,32.969,13.626,23.796,1.2798,18.582,2.2517,4.8302,2.2854,0.017866,0.8357,0.098577,53.724,43.828,63.408,53.557,24.566,60.905,21.928,39.871,40.753,46.085,47.362,41.234,19.983
4,0.24864,3651.9,4505.0,9.2647,26.628,42.255,2703.7,74.437,120.42,0.33473,79.961,49.224,2631.8,27.208,49.807,3101.3,23.347,65.724,226.87,341.53,94.564,76.914,32.11,8.8721,26.695,6.846,19.042,1.6644,32.969,13.626,23.796,1.2798,18.582,2.2517,4.8302,2.2854,0.017866,0.8357,0.098577,53.724,43.828,63.261,54.03,24.836,60.583,22.019,40.354,35.815,46.088,47.753,41.299,17.211
5,0.25818,3640.6,4444.2,9.4115,26.793,42.236,2706.5,74.857,120.43,0.31562,80.122,49.389,2635.7,24.436,49.83,3102.2,23.437,65.69,231.55,341.52,94.607,77.668,31.769,8.9071,26.71,6.867,18.796,1.6706,33.051,13.753,23.75,1.3913,18.647,2.2686,4.8611,2.3189,0.017866,0.8357,0.098577,53.724,43.828,63.789,54.084,25.447,59.838,22.644,37.261,36.303,46.14,47.34,41.016,16.937
6,0.25781,3702.5,4416.4,9.319,27.047,42.153,2706.6,74.401,120.41,0.31488,80.182,48.937,2635.3,25.668,49.107,3102.8,22.883,65.742,229.78,341.74,94.513,77.266,31.769,8.9071,26.71,6.867,18.796,1.6706,33.051,13.753,23.75,1.3913,18.647,2.2686,4.8611,2.3189,0.035043,0.8447,0.10589,54.392,44.607,62.723,54.416,25.484,60.967,22.337,37.351,34.971,44.467,47.495,40.924,18.269
7,0.29415,3674.8,4492.1,9.4204,26.888,42.365,2706.6,75.052,120.38,0.32609,80.111,50.67,2635.3,27.599,50.337,3103.1,23.231,65.729,231.01,341.7,94.504,77.037,32.248,9.0278,26.744,6.8095,19.227,1.6681,32.939,13.86,23.871,1.4494,18.405,2.2311,4.8513,2.4457,0.035043,0.8447,0.10589,54.392,44.607,63.04,54.089,28.913,59.785,22.366,39.206,40.072,47.315,47.385,41.165,17.467
8,0.29369,3649.7,4498.1,9.4421,26.772,42.229,2707.8,74.971,120.4,0.33237,80.104,50.123,2636.3,25.394,49.298,3103.8,21.742,65.724,232.3,342.19,94.555,77.461,32.248,9.0278,26.744,6.8095,19.227,1.6681,32.939,13.86,23.871,1.4494,18.405,2.2311,4.8513,2.4457,0.035043,0.8447,0.10589,54.392,44.607,63.472,54.017,28.958,59.742,22.384,38.44,38.462,44.91,47.271,41.482,20.974
9,0.25022,3652.7,4476.8,9.5099,26.613,42.324,2706.1,75.353,120.4,0.34036,80.128,50.862,2635.1,25.316,50.893,3101.8,23.197,65.742,230.7,341.93,94.465,77.231,32.278,8.8528,26.584,6.9912,18.944,1.6572,32.833,13.981,23.949,1.2721,18.24,2.2434,4.8622,2.3235,0.035043,0.8447,0.10589,54.392,44.607,63.966,53.176,24.484,60.772,22.341,40.286,40.636,48.6,47.412,41.287,17.531
10,0.25019,3687.0,4443.0,9.4055,27.188,41.872,2704.5,76.001,120.43,0.34241,80.074,50.443,2633.8,24.816,50.573,3100.7,22.449,65.728,230.84,342.17,94.594,77.136,32.278,8.8528,26.584,6.9912,18.944,1.6572,32.833,13.981,23.949,1.2721,18.24,2.2434,4.8622,2.3235,0.035043,0.8447,0.10589,54.392,44.607,63.374,53.581,24.487,59.831,22.45,40.035,39.405,47.861,47.4,41.534,19.31
11,0.2473,3638.3,4482.8,9.4433,27.408,42.511,2702.6,74.875,120.4,0.35571,80.049,51.27,2631.1,25.674,48.683,3098.7,23.203,65.732,228.88,341.73,94.628,77.354,32.311,8.9441,26.14,6.889,19.134,1.6386,33.587,13.664,24.256,1.1038,18.384,2.2677,4.7857,2.2859,0.0038599,0.83186,0.10722,53.689,43.598,62.603,53.745,24.044,61.182,22.556,41.803,41.838,43.486,47.813,41.133,17.506
12,0.24559,3645.0,4425.3,9.3144,26.862,41.973,2702.3,75.052,120.4,0.35281,79.993,49.846,2631.0,26.319,50.394,3097.7,22.665,65.748,231.31,342.06,94.791,77.217,32.311,8.9441,26.14,6.889,19.134,1.6386,33.587,13.664,24.256,1.1038,18.384,2.2677,4.7857,2.2859,0.0038599,0.83186,0.10722,53.689,43.598,62.487,54.434,24.212,63.019,22.375,42.157,37.648,47.446,47.7,41.978,18.802
13,0.24039,3631.2,4457.0,9.3163,27.018,42.419,2703.1,75.03,120.39,0.31852,79.989,50.811,2632.2,24.695,47.543,3098.5,23.104,65.736,232.15,342.14,94.634,77.105,32.406,8.7373,26.335,6.8128,18.603,1.6599,33.577,13.747,23.84,1.3664,18.638,2.2561,4.7899,2.2933,0.0038599,0.83186,0.10722,53.689,43.598,63.566,53.545,23.878,62.598,22.418,37.846,40.486,40.849,47.73,41.162,17.778
14,0.24046,3662.9,4501.2,9.3414,26.825,42.353,2703.3,74.177,120.4,0.3159,79.955,50.324,2632.1,24.843,49.202,3099.0,22.371,65.707,230.89,342.09,94.744,77.359,32.406,8.7373,26.335,6.8128,18.603,1.6599,33.577,13.747,23.84,1.3664,18.638,2.2561,4.7899,2.2933,0.0038599,0.83186,0.10722,53.689,43.598,63.02,53.016,23.871,62.116,22.514,38.166,39.054,44.687,47.947,40.766,19.509
15,0.22887,3744.0,4493.2,9.4501,26.74,41.924,2705.5,75.612,120.42,0.32709,80.191,49.496,2634.5,26.169,50.016,3102.0,22.9,65.715,232.06,342.27,94.542,77.617,32.366,8.9441,26.425,6.8792,18.498,1.635,33.508,13.87,24.131,1.2482,18.647,2.2925,4.7761,2.3364,0.0038599,0.83186,0.10722,53.689,43.598,62.323,54.4,22.867,61.67,22.523,38.859,36.616,46.571,47.946,41.274,18.222
16,0.23056,3667.3,4480.4,9.5217,26.684,42.527,2706.8,75.261,120.42,0.32584,80.27,51.564,2635.1,25.6,48.922,3103.6,23.442,65.795,231.93,341.86,94.503,77.487,32.366,8.9441,26.425,6.8792,18.498,1.635,33.508,13.87,24.131,1.2482,18.647,2.2925,4.7761,2.3364,-0.0032378,0.84067,0.090462,54.621,42.965,63.642,54.552,22.701,60.233,22.108,39.011,42.703,44.04,47.732,41.15,16.928
17,0.23291,3659.2,4562.6,9.2299,26.935,42.414,2704.6,75.621,120.4,0.33991,80.151,50.033,2633.1,25.157,49.995,3102.1,22.552,65.817,232.02,341.51,94.57,77.461,32.544,8.7966,26.176,6.7866,18.689,1.6593,33.012,13.868,24.334,1.3026,18.55,2.2504,4.7544,2.2917,-0.0032378,0.84067,0.090462,54.621,42.965,63.234,53.864,22.822,62.738,22.063,40.563,38.197,46.523,47.682,41.296,19.043
18,0.23167,3661.8,4545.9,9.426,26.874,42.862,2705.5,75.049,120.39,0.34018,80.295,49.893,2634.3,24.653,50.035,3103.5,22.376,65.843,231.22,341.4,94.495,77.166,32.544,8.7966,26.176,6.7866,18.689,1.6593,33.012,13.868,24.334,1.3026,18.55,2.2504,4.7544,2.2917,-0.0032378,0.84067,0.090462,54.621,42.965,63.188,54.064,22.944,60.176,21.84,40.53,37.786,46.614,47.71,41.376,19.461
19,0.21207,3674.4,4491.8,9.3185,26.749,42.429,2704.1,75.039,120.4,0.33884,80.173,48.528,2633.3,23.663,49.37,3101.6,21.756,65.844,231.82,341.7,94.594,77.121,32.63,8.9704,26.27,6.9093,18.548,1.71,32.987,13.894,23.956,1.2339,18.321,2.2611,4.9648,2.3935,-0.0032378,0.84067,0.090462,54.621,42.965,63.83,54.273,20.929,61.649,22.131,40.698,33.768,45.075,47.615,41.182,20.944
20,0.21379,3692.6,4505.6,9.4005,26.543,42.456,2701.9,75.167,120.4,0.33792,80.024,49.932,2630.2,23.319,49.985,3099.5,23.828,65.79,230.29,341.41,94.586,77.012,32.63,8.9704,26.27,6.9093,18.548,1.71,32.987,13.894,23.956,1.2339,18.321,2.2611,4.9648,2.3935,-0.0032378,0.84067,0.090462,54.621,42.965,63.518,54.108,20.759,62.318,21.917,40.81,37.899,46.5,47.712,41.585,16.046
