sample,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
1,0.24985,3719.7,4501.6,9.3797,27.016,42.265,2706.1,74.596,120.43,0.3365,80.245,50.093,2634.9,25.325,49.795,3102.8,23.206,65.736,231.23,341.71,94.533,77.683,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,62.095,54.072,24.71,62.984,22.312,40.14,38.373,46.059,47.363,41.079,17.463
2,0.2499,3686.7,4513.2,9.3428,27.016,42.13,2705.3,75.309,120.4,0.33286,80.141,51.01,2634.3,23.784,50.315,3103.0,22.427,65.795,232.86,341.24,94.508,76.973,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,62.663,53.933,24.705,61.152,22.41,40.584,41.072,47.262,47.215,40.937,19.362
3,0.24926,3654.5,4506.6,9.3656,27.095,42.472,2703.8,75.193,120.38,0.3357,80.005,49.582,2632.7,24.729,51.552,3101.9,22.801,65.735,230.08,341.19,94.66,77.115,32.248,8.7724,26.218,7.0314,18.532,1.6687,32.916,13.933,23.467,1.1926,18.127,2.2849,4.8416,2.291,0.017866,0.8357,0.098577,53.724,43.828,63.217,54.012,24.776,59.487,22.208,40.235,36.87,50.125,47.462,41.321,18.473
4,0.25163,3667.2,4435.9,9.4246,26.774,42.546,2704.0,74.815,120.41,0.33953,79.992,49.365,2633.0,25.723,49.872,3100.7,22.439,65.711,229.53,341.41,94.623,77.082,32.248,8.7724,26.218,7.0314,18.532,1.6687,32.916,13.933,23.467,1.1926,18.127,2.2849,4.8416,2.291,0.017866,0.8357,0.098577,53.724,43.828,62.998,54.857,24.543,62.249,22.179,39.768,36.232,46.238,47.514,40.815,19.347
5,0.24246,3644.1,4551.5,9.2609,27.023,42.4,2702.9,74.53,120.38,0.34918,79.977,48.498,2631.9,26.495,50.729,3100.6,23.011,65.706,229.1,341.07,94.711,77.42,32.216,9.0488,26.443,6.804,18.649,1.6762,33.175,13.951,24.188,1.3311,18.727,2.2742,4.8486,2.2938,0.017866,0.8357,0.098577,53.724,43.828,62.013,54.096,24.228,62.225,22.089,41.626,33.681,48.221,47.555,41.125,17.973
6,0.24186,3641.7,4543.2,9.3869,26.979,42.611,2704.8,74.018,120.42,0.35061,80.151,50.013,2633.4,24.427,49.968,3102.5,22.581,65.691,230.06,341.13,94.665,77.536,32.216,9.0488,26.443,6.804,18.649,1.6762,33.175,13.951,24.188,1.3311,18.727,2.2742,4.8486,2.2938,0.018135,0.81901,0.089561,52.894,43.193,62.056,54.195,24.287,62.239,22.179,41.451,38.139,46.459,47.469,41.422,18.976
7,0.24849,3670.4,4506.7,9.545,27.369,42.313,2706.6,74.878,120.42,0.3499,80.233,51.366,2635.2,24.836,49.583,3104.9,23.046,65.73,229.17,341.72,94.657,77.456,32.583,8.7618,26.164,6.7547,19.014,1.628,32.324,13.659,23.867,1.3488,18.792,2.2877,4.7634,2.3759,0.018135,0.81901,0.089561,52.894,43.193,63.523,54.376,24.161,60.66,22.097,42.184,42.121,45.569,47.55,40.333,17.864
8,0.24517,3698.1,4495.7,9.3635,26.95,42.671,2705.5,75.197,120.42,0.3512,80.085,49.842,2634.0,25.891,48.943,3103.4,22.161,65.738,230.28,341.67,94.537,76.865,32.583,8.7618,26.164,6.7547,19.014,1.628,32.324,13.659,23.867,1.3488,18.792,2.2877,4.7634,2.3759,0.018135,0.81901,0.089561,52.894,43.193,63.046,54.507,24.488,59.958,22.066,42.025,37.634,44.088,47.45,41.282,20.016
9,0.20869,3701.0,4505.4,9.3674,27.416,42.465,2702.8,74.555,120.38,0.31734,79.894,49.444,2631.6,25.42,50.233,3100.5,23.759,65.692,230.73,341.42,94.632,77.356,31.992,8.9224,26.269,6.9,19.144,1.622,33.201,13.769,23.899,1.0898,18.414,2.2485,4.8904,2.3528,0.018135,0.81901,0.089561,52.894,43.193,63.526,53.485,20.662,62.272,22.357,38.322,36.465,47.074,47.41,41.151,16.209
10,0.21003,3696.7,4470.7,9.3598,26.852,42.138,2704.8,74.903,120.45,0.31806,80.182,49.487,2633.2,25.724,48.816,3101.7,23.168,65.687,231.5,341.28,94.509,77.477,31.992,8.9224,26.269,6.9,19.144,1.622,33.201,13.769,23.899,1.0898,18.414,2.2485,4.8904,2.3528,0.018135,0.81901,0.089561,52.894,43.193,63.6,53.901,20.53,59.953,22.217,38.234,36.59,43.793,47.344,42.663,17.59
